Tag,Uhrzeit,Typ,Station_ID
30,12,Typ 2,127
30,14,Typ 1,49
30,14,Typ 2,267
30,15,Typ 2,117
31,9,Typ 1,190
31,9,Typ 2,390
31,11,Typ 2,341
31,16,Typ 1,330
32,8,Typ 1,141
32,9,Typ 1,10
32,14,Typ 1,192
32,16,Typ 1,42
33,8,Typ 1,386
33,11,Typ 2,124
34,8,Typ 2,340
34,12,Typ 1,20
34,12,Typ 1,284
34,12,Typ 2,381
35,8,Typ 2,69
35,9,Typ 2,217
35,14,Typ 1,05
36,15,Typ 1,360
36,16,Typ 1,213
37,9,Typ 2,171
37,12,Typ 2,47
37,15,Typ 1,355
37,16,Typ 1,188
37,16,Typ 1,308
38,11,Typ 1,362
38,13,Typ 1,40
39,10,Typ 2,231
39,11,Typ 1,265
39,11,Typ 1,277
39,12,Typ 1,91
39,14,Typ 1,14
39,14,Typ 1,317
39,15,Typ 1,52
39,16,Typ 2,253
40,10,Typ 1,279
40,11,Typ 1,160
40,12,Typ 1,209
40,12,Typ 1,176
40,12,Typ 2,100
40,14,Typ 1,68
40,15,Typ 1,207
41,8,Typ 1,120
41,9,Typ 1,235
42,11,Typ 1,336
42,16,Typ 2,193
43,10,Typ 1,50
43,11,Typ 2,33
43,12,Typ 1,296
43,14,Typ 1,269
43,16,Typ 2,64
43,16,Typ 2,263
44,10,Typ 1,256
44,10,Typ 1,297
44,13,Typ 1,206
44,16,Typ 1,132
44,16,Typ 2,09
45,8,Typ 1,291
45,9,Typ 1,281
45,10,Typ 1,171
45,12,Typ 1,230
45,14,Typ 2,94
46,8,Typ 1,348
46,9,Typ 1,384
46,11,Typ 1,56
46,12,Typ 1,40
46,13,Typ 1,82
46,13,Typ 1,45
46,16,Typ 1,239
48,11,Typ 2,173
49,10,Typ 1,01
49,14,Typ 2,369
51,8,Typ 1,290
51,9,Typ 1,25
51,14,Typ 1,151
51,14,Typ 1,202
52,8,Typ 1,282
52,9,Typ 1,257
52,11,Typ 1,150
52,12,Typ 2,173
53,10,Typ 1,144
53,11,Typ 1,116
53,12,Typ 1,64
53,12,Typ 2,309
53,15,Typ 2,105
54,8,Typ 1,304
54,10,Typ 1,246
54,10,Typ 1,277
54,11,Typ 2,77
54,12,Typ 2,243
54,15,Typ 1,117
55,9,Typ 1,332
55,9,Typ 1,76
55,10,Typ 1,198
56,9,Typ 1,371
57,8,Typ 1,206
57,9,Typ 1,362
57,11,Typ 1,158
57,12,Typ 2,212
58,8,Typ 1,19
58,10,Typ 1,101
58,11,Typ 1,294
58,12,Typ 1,02
58,14,Typ 1,181
58,15,Typ 1,345
59,8,Typ 2,381
59,12,Typ 1,266
59,15,Typ 1,283
59,16,Typ 1,12
60,10,Typ 2,360
60,13,Typ 1,01
60,13,Typ 1,98
60,14,Typ 1,386
61,8,Typ 1,124
61,9,Typ 2,313
61,13,Typ 1,322
61,14,Typ 1,107
62,8,Typ 1,176
62,8,Typ 2,196
62,12,Typ 1,268
62,12,Typ 1,140
63,8,Typ 1,268
63,11,Typ 1,63
63,11,Typ 1,359
63,13,Typ 1,107
63,16,Typ 1,49
64,9,Typ 2,283
65,13,Typ 2,203
65,13,Typ 2,201
66,9,Typ 1,116
66,10,Typ 1,323
66,12,Typ 1,25
66,16,Typ 1,241
67,14,Typ 1,223
67,15,Typ 2,341
67,16,Typ 1,328
68,8,Typ 1,168
68,9,Typ 1,248
68,9,Typ 2,347
68,12,Typ 1,382
69,8,Typ 2,109
69,9,Typ 1,67
69,10,Typ 1,298
69,11,Typ 1,06
69,14,Typ 2,297
69,16,Typ 1,396
69,16,Typ 1,20
69,16,Typ 1,226
70,15,Typ 2,42
70,16,Typ 2,364
71,8,Typ 1,22
71,9,Typ 1,376
71,12,Typ 1,339
71,14,Typ 1,198
71,14,Typ 2,256
72,9,Typ 1,362
72,12,Typ 1,23
72,13,Typ 1,251
72,16,Typ 1,268
73,8,Typ 1,164
74,9,Typ 1,339
74,10,Typ 1,67
75,10,Typ 1,27
75,16,Typ 2,394
76,11,Typ 2,173
76,13,Typ 1,361
76,15,Typ 2,367
77,10,Typ 1,180
77,11,Typ 2,316
77,11,Typ 2,280
78,8,Typ 1,353
78,9,Typ 1,354
78,10,Typ 1,345
78,11,Typ 1,385
78,13,Typ 1,389
78,16,Typ 1,122
79,10,Typ 1,89
79,11,Typ 1,357
79,16,Typ 1,192
80,10,Typ 2,114
80,15,Typ 1,145
81,11,Typ 1,134
81,15,Typ 1,176
82,12,Typ 2,282
82,16,Typ 1,125
83,8,Typ 1,381
83,8,Typ 1,29
83,9,Typ 2,158
83,10,Typ 1,134
83,15,Typ 1,24
83,15,Typ 1,100
84,8,Typ 1,318
84,12,Typ 1,294
84,15,Typ 1,122
84,16,Typ 1,270
85,9,Typ 1,33
85,11,Typ 1,384
85,11,Typ 2,67
85,13,Typ 2,214
85,15,Typ 1,335
85,15,Typ 1,215
85,16,Typ 1,102
85,16,Typ 1,381
86,10,Typ 1,255
86,16,Typ 1,292
87,10,Typ 1,386
87,11,Typ 1,309
88,8,Typ 2,188
88,13,Typ 1,73
88,13,Typ 2,104
88,14,Typ 1,107
88,15,Typ 2,19
89,11,Typ 1,148
89,11,Typ 1,168
89,13,Typ 1,375
89,14,Typ 2,142
89,15,Typ 1,285
90,8,Typ 1,213
90,8,Typ 2,320
90,11,Typ 1,243
90,11,Typ 1,22
90,16,Typ 1,38
90,16,Typ 1,83
91,16,Typ 1,185
92,12,Typ 1,286
92,12,Typ 2,267
93,9,Typ 1,65
93,11,Typ 1,266
93,11,Typ 1,184
93,12,Typ 2,252
93,14,Typ 1,169
93,16,Typ 2,74
94,11,Typ 1,123
94,11,Typ 2,362
94,12,Typ 1,98
95,9,Typ 2,257
95,10,Typ 1,159
95,11,Typ 2,299
96,8,Typ 1,133
96,8,Typ 2,392
96,10,Typ 1,222
97,9,Typ 1,382
97,11,Typ 1,112
97,15,Typ 1,370
97,15,Typ 2,55
98,8,Typ 1,256
98,11,Typ 2,342
98,13,Typ 2,378
98,15,Typ 1,249
98,15,Typ 1,12
98,16,Typ 1,133
99,11,Typ 1,299
99,14,Typ 1,31
99,14,Typ 1,47
100,8,Typ 1,27
100,8,Typ 1,159
100,8,Typ 1,381
100,13,Typ 1,298
